IP,DNS,Tracking Method,Last Scanned Date,Tags
172.25.16.46,brno-bst02.corp.netledger.com,DNS,2021-01-13,brno_internal_all|all_internal|Security|ITGI|BU:NetOps|SRE|ITGI Systems|CZBRN1_office_internal_all|BU:DevOps|corp_itgi_linux_servers|Internal|AI:Internal
150.136.206.216,None,IP,2020-08-29,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.189.243,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
150.136.134.162,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
10.16.56.92,elkcom.f.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
150.136.31.213,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
193.122.160.242,None,IP,2020-08-28,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.28.122,None,IP,2020-09-18,all_external|Security|NSCore_OCI_external_all|Internet Facing Assets
150.136.134.25,None,IP,2020-09-15,all_external|Security|Internet Facing Assets
129.213.15.24,None,IP,2020-08-28,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.187.235,None,IP,2020-09-06,all_external|Security|AI:New Asset|Internet Facing Assets
172.24.243.11,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
172.24.129.53,se4-bst01.corp.netledger.com,IP,2021-01-18,all_internal|Security|ITGI|se4b_corpIT_internal_all|BU:DevOps|Internal|AI:Internal
64.89.44.67,None,IP,2021-01-12,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.68,None,IP,2021-01-18,bo1_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|Internet Facing Assets|network_bo1_external_all
172.25.20.16,None,IP,2021-01-13,brno_internal_all|all_internal|Security|ITGI|BU:NetOps|SRE|CZBRN1_office_internal_all|BU:DevOps|Internal|AI:Internal
150.136.207.2,None,IP,2020-09-09,all_external|Security|AI:New Asset|NSCore_OCI_external_all|Internet Facing Assets
172.24.243.138,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
172.24.243.135,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
167.216.128.231,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
10.16.56.150,mail-outbound.f.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|BU:NetOps|SRE|am3_internal_all|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
10.18.200.91,hub.dub.netledger.com,IP,2020-12-03,all_internal|BU:NSCore|Security|network_du3_internal_all|du3_prod_saops_internal_all|Internal|DC:DU3|AI:Internal
193.122.132.72,None,IP,2020-09-04,all_external|Security|AI:New Asset|Internet Facing Assets
129.213.54.102,None,IP,2020-09-04,all_external|BU:TribeHr|Security|BU:NetOps|SRE|iad_oci_external_all_old|secops_oci_external_adhoc|AI:New Asset|NSCore_OCI_external_all|Internet Facing Assets
129.146.212.238,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
193.122.166.67,None,IP,2020-09-07,all_external|Security|AI:New Asset|Internet Facing Assets
10.16.200.91,available-10.16.200.91.ips.ams.netledger.com,IP,2020-11-06,all_internal|Security|Internal|AI:No DNS Record|DC:AM3|AI:Internal
129.146.153.139,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
129.146.91.106,None,IP,2020-09-06,all_external|Security|AI:New Asset|Internet Facing Assets
172.24.129.54,se4-bst02.corp.netledger.com,IP,2021-01-18,all_internal|Security|ITGI|se4b_corpIT_internal_all|BU:DevOps|Internal|AI:Internal
