IP,DNS,Tracking Method,Tags
64.89.45.13,shopping.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.64,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.239,206-83-83-239.sd.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.4,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.243,appmx1002-bo1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.19,partners.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.2,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.64,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.230,206-83-83-230.sd.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.24,system2.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.65,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.105,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
207.97.227.196,ordermotion.com,DNS,OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
10.1.79.100,checkout.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.104,shopping.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.107,testdrive.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.108,www.f.netsuite.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.79.109,available-10.1.79.109.ips.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|AI:Internal
